ipeds_id,AllStudentTotal
100654,5343
100663,14445
100690,440
100706,8145
100724,4732
100751,36237
100760,2417
100812,3947
100830,5246
100858,25195
100937,1316
101028,2020
101116,561
101143,2461
101161,8415
101189,3250
101240,6790
101277,137
101286,6237
101295,7300
101301,2486
101365,1019
101435,1249
101453,66
101462,1088
101471,833
101480,8735
101505,13608
101514,15261
101541,397
101569,4736
101587,2516
101602,2392
101648,459
101675,2089
101693,1652
101709,2529
101736,4741
101879,7077
101897,3767
101912,1778
101994,565
102030,4748
102049,3511
102058,348
102067,7253
102076,3611
102094,12062
102234,1495
102270,854
102298,1018
102313,2572
102368,16868
102377,2834
102395,213
102429,5537
102553,22973
102580,44
102614,11417
102632,3622
102669,340
102711,1895
102845,4415
103501,586
103741,178
103811,1035
103893,963
103909,883
103927,497
103945,117
103954,97
103963,1192
104090,1325
104151,45657
104160,11492
104179,37278
104188,127
104346,8086
104391,75
104425,11087
104434,62
104443,114
104504,161
104568,515
104577,8682
104586,2770
104708,27350
104717,76300
105145,7660
105154,30010
105206,5809
105215,1427
105297,2034
105330,29918
105349,5970
105367,586
105428,17335
105482,137
105525,33740
105534,3535
105543,1309
105589,542
105659,1308
105668,42716
105677,47
105747,13652
105792,5909
105899,834
106041,2461
106102,673
106111,177
106148,10116
106245,10862
106263,700
106306,858
106315,220
106324,40
106342,694
106351,213
106360,60
106397,24897
106412,2730
106449,5423
106458,11038
106467,12058
106485,3841
106494,84
106546,928
106625,1802
106704,10616
106713,859
106795,1983
106810,224
106829,184
106883,1575
106892,413
106908,568
106980,3429
106999,1544
107044,4530
107071,3151
107080,1521
107099,47
107123,128
107141,2158
107220,295
107293,92
107318,2029
107327,2066
107442,69
107460,2311
107488,288
107512,1656
107521,1692
107549,1588
107558,800
107585,2513
107600,1049
107619,2144
107637,1792
107655,40
107664,8048
107725,2078
107743,1187
107789,156
107831,111
107840,1099
107877,539
107974,2070
107983,3866
107992,1976
108065,15
108092,7517
108232,9827
108348,36
108649,218
108667,10615
108807,17070
108852,310
108977,192
109040,2038
109086,84
109208,46394
109350,18532
109651,2716
109721,570
109730,253
109785,6239
109819,33600
109907,4588
109934,307
110060,334
110097,4203
110194,307
110219,2144
110246,14144
110316,106
110334,17467
110361,8518
110370,1694
110404,989
110413,3286
110422,22352
110468,2078
110486,10500
110495,10226
110510,19495
110529,25910
110538,18423
110547,14480
110556,23662
110565,40621
110574,15801
110583,34141
110592,25757
110608,38245
110617,31737
110635,32309
110644,32197
110653,30865
110662,33160
110671,21540
110680,30143
110705,23559
110714,18534
110778,11
110875,131
110918,20
111054,370
111081,1098
111188,1110
111434,10216
111461,32720
111513,255
111638,338
111708,344
111717,426
111726,396
111744,287
111762,138
111799,218
111887,28433
111896,9291
111920,19853
111939,29808
111948,7363
111966,187
112075,2046
112084,752
112172,18733
112181,150
112190,38862
112260,1343
112288,484
112367,819
112385,20123
112394,692
112455,115
112561,3605
112570,631
112686,12108
112826,10505
113096,20320
113111,8833
113193,15212
113218,13951
113236,21471
113333,30817
113449,253
113537,23
113573,14142
113582,159
113634,29855
113698,1415
113856,57381
113980,33616
114044,501
114123,476
114266,14665
114354,3029
114390,328
114415,95
114433,3765
114460,463
114637,115
114716,30736
114761,102
114789,36000
114813,3503
114859,33076
114938,8142
114947,390
115001,20242
115010,874
115083,666
115126,18070
115296,25781
115357,122
115393,18259
115409,867
115658,170
115728,641
115755,8497
115773,535
115861,9028
115931,954
116226,263
116350,336
116439,20065
116563,253
116712,173
116846,80
117052,16612
117104,579
117113,1147
117140,6291
117168,691
117195,6837
117238,200
117247,17817
117274,4552
117557,150
117575,72
117627,2196
117636,1628
117645,32876
117672,1900
117690,13373
117706,27659
117715,10118
117724,21393
117733,26155
117751,1587
117788,25533
117803,269
117867,15918
117894,13123
117928,674
117946,6689
117955,528
118134,137
118143,108
118161,212
118189,80
118198,1126
118259,547
118277,1365
118286,818
118347,8140
118541,1020
118684,6441
118693,800
118718,15129
118772,11674
118888,837
118912,20677
118930,12500
118958,76
118967,1009
118976,24387
118994,340
119058,11
119067,12329
119137,20160
119164,39512
119173,2786
119216,20992
119270,1443
119331,8379
119553,1611
119605,12995
119775,485
119845,205
119951,282
120069,388
120078,1042
120087,267
120184,1026
120254,2116
120290,15318
120342,29007
120403,1118
120421,11162
120537,1128
120661,1049
120698,159
120768,692
120838,8
120865,1410
120883,3778
120953,6809
120971,35282
121044,37252
121150,3759
121257,1099
121275,239
121309,3475
121345,1720
121363,5284
121433,135
121619,35606
121637,120
121691,3469
121707,6226
121859,290
121868,164
121886,30334
121901,30088
121983,127
121992,522
122117,15
122180,31936
122205,31229
122296,1536
122339,25489
122366,164
122375,36637
122384,27682
122409,32312
122436,6247
122454,395
122506,210
122597,29871
122612,7410
122658,24609
122685,9054
122728,1464
122746,14136
122755,29585
122791,14317
122834,604
122852,149
122889,23001
122931,5773
122977,41743
123013,30597
123165,1108
123217,15686
123280,46
123299,13667
123341,25329
123350,147
123457,955
123484,3610
123493,510
123509,14778
123527,19974
123554,3029
123563,13835
123572,9464
123633,54
123642,328
123651,2517
123679,901
123800,24867
123952,284
123961,20777
124113,12213
124292,376
124487,217
124681,1196
124706,1157
124937,1013
125028,19114
125091,16814
125170,11081
125231,13410
125310,49
125462,5439
125471,20945
125499,12112
125532,2136
125727,1370
125763,1732
125897,1247
126076,153
126119,10007
126164,94
126182,2454
126207,8436
126289,14803
126359,491
126562,20690
126580,14206
126605,449
126614,32113
126669,11476
126678,2319
126687,1351
126702,850
126711,8322
126748,1829
126775,4974
126784,236
126818,28854
126827,38556
126863,11777
126872,195
126915,422
126942,12230
126951,1486
127060,6118
127158,5140
127185,3688
127200,28106
127316,437
127389,1015
127556,10651
127565,24266
127617,1920
127653,525
127680,128
127714,1170
127732,2220
127741,11397
127778,1731
127787,142
127820,18604
127884,9901
127909,12010
127918,5022
127945,1194
127954,17
128106,5977
128151,1344
128179,992
128188,1532
128258,2326
128328,4276
128337,151
128391,3271
128498,1519
128540,155
128577,2730
128586,42
128674,267
128683,593
128744,3688
128771,10925
128780,2169
128896,402
128902,1891
129002,441
129020,20385
129154,4773
129181,1176
129215,5549
129242,4500
129349,259
129367,5027
129482,633
129525,6138
129534,264
129543,6956
129695,9240
129729,8851
129756,3948
129774,749
129808,5520
129923,775
129932,931
129941,5512
130004,8070
130040,1716
130110,85
130174,3853
130183,15609
130217,1906
130226,7835
130253,6060
130314,935
130396,9696
130493,8994
130509,939
130590,2369
130606,5643
130624,1065
130697,3211
130776,5994
130794,6585
130837,59
130873,592
130907,18681
130934,4282
130943,21031
130989,839
131061,191
131098,1649
131113,11496
131159,8721
131283,3431
131399,5038
131450,1215
131469,12801
131496,8269
131520,6631
131803,1154
131830,50
131876,1680
132338,865
132374,4495
132408,443
132471,3935
132602,4323
132657,2411
132675,182
132693,20522
132709,60896
132842,228
132851,9505
132879,228
132903,66659
132976,524
133021,2616
133155,944
133386,19934
133465,1089
133492,2138
133508,22279
133526,4783
133553,6100
133650,8898
133669,31186
133702,36771
133711,2860
133809,526
133845,1042
133854,951
133863,898
133872,2038
133881,3944
133942,80
133951,58244
133960,1440
133979,1328
133997,824
134024,191
134079,2986
134097,37025
134112,5954
134130,38727
134228,48
134237,25053
134291,876
134307,1411
134343,7522
134495,40019
134510,304
134529,458
134574,294
134608,24349
134714,249
134811,1818
134945,3526
135081,31911
135142,447
135160,4743
135179,1086
135188,6396
135267,1597
135276,944
135294,1337
135337,176
135364,385
135391,14618
135407,1456
135522,594
135559,108
135610,183
135647,1708
135717,88475
135726,11984
135735,3066
135771,571
136109,328
136145,1768
136172,16929
136215,5026
136233,7962
136303,1588
136330,3323
136358,44024
136400,15416
136473,13734
136491,1607
136516,15190
136659,657
136765,534
136774,1472
136826,1240
136950,2805
137023,758
137032,16699
137078,38969
137087,1912
137096,19571
137120,2069
137148,135
137209,24508
137245,2760
137272,59
137281,9616
137315,3772
137351,37246
137476,3701
137546,3232
137564,7469
137591,586
137713,247
137759,16944
137777,33
137801,1437
137847,8745
137856,221
137865,644
137953,437
137962,232
138132,87
138187,61524
138275,1123
138284,575
138293,668
138309,14010
138354,12156
138372,1938
138479,1551
138488,1883
138497,499
138558,6347
138600,970
138655,841
138664,114
138682,4587
138716,9549
138761,327
138813,2151
138822,750
138840,6011
138868,2232
138901,3709
138938,532
138947,3576
138956,6445
139144,2047
139153,374
139199,2189
139205,985
139214,324
139250,4498
139278,9627
139287,72
139311,7975
139357,4566
139366,8072
139384,7603
139393,1062
139463,6009
139506,266
139579,784
139621,3788
139630,1042
139658,7869
139700,7836
139719,2556
139746,74
139755,17068
139764,3111
139861,6674
139931,27294
139940,30307
139959,31645
139968,4696
139986,6610
139995,259
140003,485
140012,12129
140234,1000
140243,5244
140252,897
140331,14886
140340,1125
140447,5112
140553,2326
140678,3804
140696,1662
140720,478
140818,1473
140827,96
140872,1674
140942,5819
140951,12050
140960,4802
140988,1700
141006,2870
141015,393
141060,2171
141167,1502
141185,1865
141237,2865
141255,5949
141264,10099
141325,738
141334,12739
141361,1366
141486,2165
141565,3516
141574,15196
141608,151
141644,4225
141680,5157
141796,10315
141802,1781
141811,9977
141839,4293
141945,100
141981,4149
141990,3823
142054,658
142090,145
142115,24224
142179,1301
142276,13130
142285,11608
142294,961
142328,4919
142407,74
142416,17
142443,7552
142461,5401
142489,52
142522,78838
142559,12679
142887,266
142957,16
143048,3165
143084,2696
143118,4339
143181,138
143215,16187
143279,8110
143288,584
143297,333
143303,18
143358,4749
143376,419
143464,126
143473,65
143482,57
143491,84
143516,23
143543,89
143552,87
143613,3018
143695,14
144005,2438
144050,7091
144157,5381
144166,10347
144175,4892
144184,13172
144193,11498
144209,12593
144218,16169
144281,7686
144351,1512
144485,820
144564,6124
144573,93
144740,17082
144795,362
144865,43669
144883,602
144892,6972
144944,15074
144962,3130
144971,655
145099,417
145239,666
145309,41
145336,4122
145354,37
145372,1341
145406,464
145424,75
145433,117
145497,240
145521,3500
145600,21205
145619,3424
145637,35755
145646,1674
145682,12989
145691,978
145707,2016
145725,3129
145770,235
145813,19739
145831,4898
146205,13682
146278,2838
146296,23177
146339,1277
146348,6689
146366,5647
146418,5116
146427,1396
146454,67
146472,23794
146481,1648
146506,14957
146533,250
146603,9602
146612,5206
146667,492
146676,1403
146685,11135
146700,1132
146719,13247
146755,288
146807,60
146816,433
146825,549
147004,10668
147013,2384
147129,770
147165,420
147244,2103
147341,1047
147369,3007
147378,23362
147396,113
147411,6254
147439,83
147536,3717
147590,107
147642,63
147660,2932
147679,2195
147703,14730
147767,10066
147776,8562
147800,18251
147819,73
147828,3796
147916,12238
148007,8719
148016,481
148098,61
148131,1216
148140,95
148177,1048
148256,4908
148292,4159
148335,2200
148380,10387
148399,1015
148405,1163
148487,2880
148496,2301
148511,123
148575,495
148584,1834
148593,121
148627,3237
148654,3322
148672,2830
148821,4209
148876,1800
148937,3912
148955,41
148991,2315
149028,248
149204,64
149222,12170
149231,12972
149310,177
149329,67
149365,9136
149499,22
149505,1448
149514,1077
149532,17777
149550,219
149639,136
149727,17229
149763,961
149772,8599
149781,2473
149842,23618
150048,627
150066,1648
150136,19236
150145,1449
150163,4334
150172,730
150251,183
150303,386
150400,2185
150428,78
150437,54
150455,1092
150534,2746
150604,1042
150668,973
150677,1863
150756,1113
150765,82
150774,591
150853,172
150941,1245
150987,162762
151102,12228
151111,24944
151263,5017
151290,1592
151306,10873
151324,13390
151333,3453
151342,5747
151351,35008
151360,4613
151379,5782
151388,5148
151458,291
151467,397
151564,47
151607,179
151652,390
151661,1201
151777,1305
151786,3125
151801,2886
151810,365
151962,210
152044,84
152080,8744
152099,1414
152150,70
152275,288
152309,143
152318,2223
152327,16
152336,2121
152381,774
152390,1608
152415,581
152497,168
152530,2554
152567,4470
152600,3455
152628,46
152637,21692
152673,871
152798,473
152992,1061
153001,2402
153074,263
153083,234
153108,1435
153126,817
153144,1440
153162,1058
153171,27
153214,36499
153241,61
153250,1599
153269,3389
153278,2148
153296,956
153302,276
153311,12855
153320,329
153339,37
153366,1624
153375,2037
153384,1774
153409,173
153418,633
153427,350
153445,7455
153463,37
153472,5154
153524,8114
153533,2948
153542,19
153588,41
153597,152
153603,32440
153621,695
153630,9601
153658,27133
153737,19823
153746,43
153764,108
153773,97
153782,52
153825,1480
153834,2097
153861,452
153922,2437
153977,924
154004,1386
154013,1787
154022,73454
154059,3871
154095,11079
154101,1127
154110,6046
154129,2646
154165,55
154174,66
154208,203
154235,2518
154262,317
154332,122
154341,65
154350,1566
154378,3822
154396,2276
154448,207
154457,47
154466,67
154493,7212
154518,3563
154527,1572
154545,66
154572,7540
154590,1460
154642,4095
154688,2264
154697,14434
154712,2193
154721,816
154749,546
154800,12832
154855,999
154907,2845
154925,2463
154934,2385
154952,4221
154998,2476
155007,712
155025,3964
155052,1638
155061,14422
155070,252
155089,1511
155098,2565
155104,3227
155140,893
155159,93
155177,468
155186,4921
155195,8771
155201,1234
155210,29145
155283,966
155292,8366
155308,194
155317,20934
155335,3762
155353,84
155399,20096
155414,787
155423,2075
155450,3357
155487,1336
155496,311
155511,750
155520,1657
155566,2858
155593,1241
155618,1046
155627,728
155636,527
155681,6410
155715,1640
155812,834
155830,1115
155858,2506
155900,2003
155937,737
155973,774
156082,6759
156107,7522
156125,13178
156134,1478
156189,626
156213,1834
156231,3529
156277,105
156286,2700
156295,1724
156310,471
156338,5704
156356,1400
156365,5331
156392,13130
156408,1466
156417,162
156426,323
156471,2866
156541,3874
156620,16155
156648,9902
156745,1100
156754,71
156790,4613
156842,238
156851,2039
156860,3683
156921,16497
156967,149
157021,529
157030,89
157058,2718
157076,836
157085,23361
157100,626
157216,2206
157289,17663
157304,5138
157331,4802
157377,1174
157386,10903
157401,9087
157438,5775
157447,13821
157483,8587
157535,1838
157553,6095
157614,162
157650,187
157669,204
157678,171
157711,7519
157739,4529
157748,1183
157757,1380
157793,4484
157809,2539
157818,988
157827,77
157863,1233
157951,21084
158088,3613
158246,271
158325,334
158343,63
158431,9124
158477,549
158538,51
158617,1137
158644,90
158662,20393
158778,118
158787,112
158802,1378
158884,3587
159009,5049
159027,113
159197,1005
159319,19
159328,141
159373,1083
159382,4074
159391,26857
159407,3630
159416,3351
159513,221
159522,256
159531,63
159568,1132
159601,22
159647,12053
159656,2949
159717,7736
159939,8055
159948,1662
159966,6615
159993,8828
160010,1661
160038,11658
160065,1155
160074,1428
160117,168
160126,42
160135,53
160199,81
160320,3837
160409,149
160445,157
160472,48
160481,3027
160524,621
160579,4169
160597,143
160612,16467
160621,5932
160630,2590
160649,4380
160658,17250
160667,5995
160755,8923
160904,2818
160913,2618
160940,748
160959,389
160977,1927
160995,387
161004,1967
161022,216
161077,3498
161086,2081
161138,3302
161192,3369
161208,54
161217,5470
161226,1990
161235,2196
161244,980
161253,10265
161299,1030
161341,1846
161457,9449
161484,1092
161493,262
161509,470
161518,2086
161527,307
161545,8847
161554,7874
161563,1789
161572,744
161581,476
161688,3236
161767,18734
161776,515
161800,258
161855,51
161864,5813
161873,3580
162007,5839
162061,493
162104,3067
162122,10265
162168,2839
162210,1537
162283,2879
162335,81
162371,574
162557,8896
162584,5262
162609,835
162654,1592
162681,678
162690,5761
162706,8199
162760,1178
162779,13281
162830,97
162928,7934
163028,917
163046,4012
163204,69373
163259,1147
163268,12722
163286,32369
163295,2025
163338,3138
163347,689
163408,174
163426,31340
163453,6928
163462,1961
163532,321
163541,729
163578,937
163657,16868
163736,913
163754,165
163815,135
163851,8417
163912,1661
163976,464
164058,1008
164076,22004
164155,4519
164173,3720
164216,1513
164270,1755
164313,4135
164368,705
164438,1562
164447,1425
164465,1946
164492,1213
164535,49
164562,2167
164580,2669
164599,66
164614,93
164632,2314
164641,1009
164678,153
164720,2274
164739,4400
164748,7407
164775,2262
164845,243
164872,452
164924,10316
164988,22745
165015,3869
165024,10986
165033,10513
165060,265
165112,17830
165167,990
165194,4756
165255,267
165264,1058
165334,2411
165529,3013
165556,486
165574,1595
165608,61
165635,343
165644,730
165662,4121
165671,2203
165699,3675
165750,75
165802,3472
165820,4804
165866,4871
165884,910
165936,1748
165981,2575
166018,1304
166027,14340
166045,109
166054,81
166124,2922
166133,7113
166391,1812
166407,460
166452,2453
166489,57
166498,123
166513,16797
166586,42
166595,53
166629,26840
166638,15286
166647,7227
166656,4050
166674,2224
166683,4616
166692,1873
166717,9
166805,99
166823,10323
166850,3856
166869,1203
166887,11217
166911,400
166939,2359
166957,5194
167039,37
167057,436
167224,78
167251,703
167260,1450
167288,1749
167297,169
167312,8491
167358,18587
167376,7291
167394,1321
167455,459
167525,7651
167534,10234
167598,2011
167631,2860
167677,27
167729,8501
167738,152
167783,1824
167792,432
167835,2627
167871,164
167899,2285
167905,7431
167987,7795
167996,2568
168005,5668
168032,47
168148,5927
168218,2674
168227,4544
168254,2870
168263,6407
168281,1715
168290,714
168342,2230
168421,4715
168430,6585
168528,1733
168546,1634
168555,29
168573,1085
168591,1465
168607,2389
168740,2348
168786,1718
168847,16263
168883,2288
168892,161
169080,3890
169187,225
169248,19552
169275,10504
169284,391
169327,604
169363,977
169442,1480
169479,7016
169503,363
169521,11644
169576,99
169655,1269
169716,3204
169734,1332
169761,374
169798,19454
169813,60
169910,15001
169947,61
169974,1549
169983,2139
169992,1302
170000,1258
170037,2076
170055,19969
170082,23892
170091,176
170240,18459
170286,1530
170301,3303
170444,7177
170532,1454
170541,12039
170550,7236
170587,1929
170611,148
170620,4034
170639,2620
170657,17503
170675,2278
170736,48
170790,29245
170806,3059
170842,295
170967,1322
170976,30715
171012,269
171100,42342
171128,6139
171137,8116
171146,7367
171155,5360
171225,4156
171234,2104
171304,6271
171395,3657
171456,8170
171483,4271
171492,3542
171535,27113
171571,18524
171599,1241
171775,78
171881,191
171988,202
171997,295
172015,271
172033,335
172051,8652
172200,17002
172264,2868
172291,4672
172307,2883
172325,825
172334,2245
172422,534
172440,450
172495,358
172608,1220
172617,21041
172635,20330
172644,20364
172671,1492
172680,144
172699,19611
172802,82
172866,118
172918,4051
172927,58
172954,2605
172963,11898
173045,2711
173063,4416
173115,1739
173124,5846
173142,753
173160,2986
173203,5334
173258,2126
173300,2083
173328,3619
173416,3566
173452,1305
173461,7873
173470,37
173559,8125
173638,4724
173647,2198
173665,2336
173708,7151
173735,1572
173744,675
173799,6767
173805,1718
173902,2174
173911,4647
173920,14969
173957,213
173984,1408
173993,1844
174020,9900
174066,45465
174075,3343
174118,195
174127,739
174136,10724
174154,570
174190,192
174233,10633
174251,1778
174321,135
174358,6002
174376,9742
174385,45
174428,14942
174437,1166
174473,4583
174491,3724
174507,322
174525,129
174570,2687
174604,482
174738,7057
174747,1975
174756,5624
174783,14944
174792,1769
174817,1749
174844,3120
174862,1178
174899,3193
174914,6558
174978,211
175005,3827
175014,9108
175041,10004
175078,8093
175120,876
175157,948
175227,1500
175236,4758
175263,2762
175272,8249
175315,12440
175342,3297
175421,2877
175430,666
175494,143
175519,2596
175528,533
175573,3910
175607,27
175616,3755
175643,3152
175652,6375
175698,54
175722,45
175786,16162
175810,8544
175829,6821
175856,7550
175883,6300
175935,4727
175980,923
176008,3460
176017,20448
176035,3020
176044,2344
176053,3676
176062,77
176071,12264
176080,19773
176169,4379
176178,10714
176239,6217
176318,974
176336,44
176354,2496
176372,13581
176390,225
176406,863
176479,4428
176628,1509
176664,286
176716,203
176770,977
176789,305
176798,306
176910,268
176947,1116
176965,12748
176983,74
177038,117
177056,135
177065,18165
177083,78
177117,284
177135,6565
177144,1201
177214,1511
177250,3722
177287,213
177302,432
177339,1713
177418,1059
177436,59
177472,17567
177542,1068
177551,1750
177588,48
177603,85
177676,5663
177685,144
177719,944
177746,677
177816,54
177870,16
177931,57
177940,2950
177968,7892
177977,1457
177986,235
177995,24011
178004,263
178059,3598
178077,98
178110,123
178183,430
178208,775
178217,4401
178244,4874
178341,6748
178369,1971
178387,5996
178396,25719
178402,13657
178411,7189
178420,17073
178448,7398
178466,107
178527,57
178615,6264
178624,6032
178679,653
178697,1775
178721,13931
178767,165
178828,26
178891,1939
178989,370
179043,2330
179052,118
179159,12116
179195,57
179229,33
179238,45
179256,139
179265,467
179308,28937
179326,3052
179344,2371
179450,647
179511,430
179539,6094
179548,698
179557,11693
179566,22849
179645,4243
179715,2609
179867,8642
179894,3624
179946,843
179955,1027
179964,1087
179991,44
180054,619
180063,52
180081,1010
180090,134
180106,1402
180151,651
180160,429
180179,5220
180197,3537
180203,351
180212,573
180249,2472
180258,1148
180276,1783
180328,484
180373,860
180416,1882
180461,16187
180489,10590
180522,1451
180595,942
180647,1112
180692,1771
180771,25
180814,7570
180832,910
180878,633
180902,9156
180948,2643
180957,174
180984,2064
181002,4738
181020,1089
181127,1201
181145,26
181190,233
181215,5350
181242,428
181297,1054
181303,24779
181312,3185
181330,1764
181376,157
181394,14566
181400,548
181419,302
181428,1031
181446,3792
181464,22136
181491,6541
181534,2703
181543,30
181604,920
181640,14658
181738,836
181765,412
181783,3218
181817,2463
181853,464
181880,383
181941,627
182005,49495
182111,978
182148,301
182281,28269
182290,20465
182306,4609
182458,503
182500,15830
182564,4637
182634,1001
182652,55
182670,4798
182704,116
182722,157
182795,1889
182892,52
182917,71
182953,193
182980,2407
182999,31
183026,106439
183035,37
183044,13824
183062,4081
183071,1019
183080,4434
183099,5716
183105,1527
183114,1659
183123,1963
183132,5002
183141,3143
183150,3313
183202,49
183211,1767
183239,2001
183248,211
183257,2688
183275,91
183488,598
183600,47
183655,7927
183725,832
183743,19671
183789,5123
183804,3116
183822,1935
183859,18316
183877,15412
183910,1666
183938,17037
183974,1572
183983,114
184047,52
184056,645
184092,1032
184180,11319
184205,4361
184278,66
184348,1698
184427,439
184481,11840
184506,190
184603,6253
184612,1933
184694,2886
184746,218
184773,1886
184782,17470
184791,10101
184816,139
184870,445
184959,1047
184968,203
184995,12008
185129,7528
185174,102
185262,13725
185332,537
185396,1817
185466,444
185509,10712
185536,16876
185572,4965
185590,18798
185651,70
185679,542
185721,729
185767,616
185828,9620
185873,14075
185970,283
186016,690
186034,10660
186052,988
186131,5674
186186,338
186201,6302
186274,226
186283,4431
186335,175
186371,6354
186380,40054
186399,10329
186405,16
186423,69
186432,2900
186469,1473
186584,6328
186593,210
186618,855
186645,11281
186867,3194
186876,9772
186900,101
187000,268
187046,15170
187134,7289
187198,13323
187444,10459
187505,1347
187532,35976
187596,2379
187620,10490
187639,5278
187648,5608
187666,3643
187745,891
187897,2310
187903,3469
187912,450
187958,2867
187967,1568
187976,1934
187985,22328
187994,2984
188003,3185
188021,1714
188030,13024
188049,3555
188058,1117
188100,10179
188137,8448
188182,575
188216,507
188225,1987
188261,1857
188289,119
